assay,condition,source,displayed_validity,frame,metric,mean,sem,trials
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,cue_raw,0.24901697412133217,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,cue_raw,0.14627223648130894,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,cue_raw,0.35408931970596313,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,cue_raw,0.20823842488850156,0.0012747557247901684,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,cue_raw,0.23349165743760145,0.007715519696441943,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,cue_raw,0.2177244509124042,0.008083452638353396,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,cue_raw,0.20892299374584886,0.016928430363975837,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,cue_conditional,0.25,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,cue_conditional,0.27229971274017367,6.264856340885524e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,cue_conditional,0.3607145202719273,3.417194367755741e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,cue_conditional,0.2903404516065288,0.000542473538906151,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,cue_conditional,0.2754908407904617,0.009043024209482968,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,cue_conditional,0.24695505258043274,0.00916116867140081,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,cue_conditional,0.24661753640474457,0.018678542200269394,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,target_raw,0.24901697412133217,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,target_raw,0.14627223648130894,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,target_raw,0.35408931970596313,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,target_raw,0.20823842488850156,0.0012747557247901684,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,target_raw,0.23349165743760145,0.007715519696441943,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,target_raw,0.2177244509124042,0.008083452638353396,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,target_raw,0.20892299374584886,0.016928430363975837,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,target_conditional,0.25,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,target_conditional,0.27229971274017367,6.264856340885524e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,target_conditional,0.3607145202719273,3.417194367755741e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,target_conditional,0.2903404516065288,0.000542473538906151,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,target_conditional,0.2754908407904617,0.009043024209482968,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,target_conditional,0.24695505258043274,0.00916116867140081,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,target_conditional,0.24661753640474457,0.018678542200269394,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,target_selectivity,0.0,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,target_selectivity,0.02973295032023072,1.779788733206115e-18,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,target_selectivity,0.14761936036257048,3.132428170442762e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,target_selectivity,0.05378726880870501,0.0007232980518748679,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,target_selectivity,0.03398778772061561,0.012057365612643964,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,target_selectivity,-0.004059929892756397,0.012214891561867744,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,target_selectivity,-0.004509951460340733,0.02490472293369253,96
