label,feedback,grid,n_tokens,seed,condition,window,source,estimation_unit,source_total_share,target_conditional_total_mass,cue_conditional_total_mass,target_minus_cue_conditional_total_mass,target_conditional_peak_share,cue_conditional_peak_share,target_minus_cue_conditional_peak_share
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,valid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.9668283835053444,0.29150727563516127,0.29150727563516127,0.0,0.29150727563516127,0.29150727563516127,0.0
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,valid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9994824681198224,0.9850622292339225,0.9850622292339225,0.0,0.9850622292339225,0.9850622292339225,0.0
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,valid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9831554258125834,0.6382847524345419,0.6382847524345419,0.0,0.6382847524345419,0.6382847524345419,0.0
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,invalid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.9641543589532375,0.2564714634065343,0.2625523198264818,-0.006080856419947489,0.2564714634065343,0.2625523198264818,-0.006080856419947489
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,invalid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.99629384605214,0.9544563645179588,0.020511430935108377,0.9339449335828505,0.9544563645179588,0.020511430935108377,0.9339449335828505
vda4_crossattn1_grid2x2_seed1,crossattn1,2x2,4,1,invalid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9802241025026888,0.6054639139622465,0.1415318753807951,0.46393203858145143,0.6054639139622465,0.1415318753807951,0.46393203858145143
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,valid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.0603601954280748,0.2652016787285302,0.2652016787285302,0.0,0.28031000976423304,0.28031000976423304,0.0
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,valid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.011820398380223196,0.2791809128311037,0.2791809128311037,0.0,0.32124394749409557,0.32124394749409557,0.0
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,valid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.036090296904149,0.27219129577981693,0.27219129577981693,0.0,0.3007769786291643,0.3007769786291643,0.0
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,invalid,frame5,visual,trial-averaged raw attention; descriptive mean only,0.06057456260168692,0.24503020462558123,0.2592543283351725,-0.014224123709591252,0.27704883405434577,0.27769704026443104,-0.000648206210085267
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,invalid,frame6,visual,trial-averaged raw attention; descriptive mean only,0.031179169131064555,0.24128914978137106,0.2627087762932916,-0.02141962651192053,0.2554801860444428,0.283375556315065,-0.027895370270622222
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,invalid,frames5_6_mean,visual,trial-averaged raw attention; descriptive mean only,0.04587686586637574,0.24315967720347614,0.26098155231423203,-0.01782187511075589,0.2662645100493943,0.280536298289748,-0.014271788240353744
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,valid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.939639805117622,0.46723620782946984,0.46723620782946984,0.0,0.46349253717105887,0.46349253717105887,0.0
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,valid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9881796075205784,0.885282299024687,0.885282299024687,0.0,0.9118494985584832,0.9118494985584832,0.0
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,valid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9639097063191002,0.6762592534270784,0.6762592534270784,0.0,0.687671017864771,0.687671017864771,0.0
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,invalid,frame5,memory,trial-averaged raw attention; descriptive mean only,0.9394254523795098,0.1810078388749125,0.4570296646767336,-0.2760218258018211,0.1835177336080222,0.4778788834365047,-0.2943611498284825
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,invalid,frame6,memory,trial-averaged raw attention; descriptive mean only,0.9688208260340616,0.5282319462633398,0.27036847729977664,0.25786346896356316,0.49316549754684813,0.2967812421596009,0.19638425538724724
vda4_crossattn1_grid4x4_seed0,crossattn1,4x4,16,0,invalid,frames5_6_mean,memory,trial-averaged raw attention; descriptive mean only,0.9541231392067857,0.3546198925691262,0.36369907098825516,-0.009079178419128975,0.33834161557743514,0.3873300627980528,-0.04898844722061768
