label,grid,n_tokens,seed,condition,window,source,trial,target_quadrant,cue_quadrant,source_total_share,target_raw_total_quadrant_mass,cue_raw_total_quadrant_mass,target_raw_peak_patch,cue_raw_peak_patch,target_raw_peak_patch_uniform_ratio,cue_raw_peak_patch_uniform_ratio,target_conditional_total_quadrant_mass,cue_conditional_total_quadrant_mass,target_conditional_peak_patch,cue_conditional_peak_patch,target_conditional_peak_patch_uniform_ratio,cue_conditional_peak_patch_uniform_ratio,target_peak_patch_quadrant_share,cue_peak_patch_quadrant_share,target_within_quadrant_peak_ratio,cue_within_quadrant_peak_ratio,target_minus_cue_raw_total_mass,target_minus_other_raw_total_mass,target_minus_cue_raw_peak,target_minus_other_raw_peak,target_minus_cue_peak_share,target_minus_other_peak_share,target_argmax_raw_total,target_argmax_raw_peak
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,75,0,0,0.870921193389222,0.2838528072461486,0.2838528072461486,0.040153324604034424,0.040153324604034424,8.030664920806885,8.030664920806885,0.32592249379249216,0.32592249379249216,0.0461044293201504,0.0461044293201504,4.61044293201504,4.61044293201504,0.27507313082222273,0.27507313082222273,3.5364565347784875,3.5364565347784875,0.0,0.08816334519845745,0.0,0.004880009219050407,0.0,0.03343084109629699,1,0
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,76,0,0,0.879365756874904,0.40286019118502736,0.40286019118502736,0.06131560355424881,0.06131560355424881,12.263120710849762,12.263120710849762,0.4581258572277304,0.4581258572277304,0.06972707667416186,0.06972707667416186,6.972707667416186,6.972707667416186,0.5057571292108278,0.5057571292108278,3.8050175281582685,3.8050175281582685,0.0,0.24402500262173513,0.0,0.041342380456626415,0.0,0.3410095056144371,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,77,0,0,0.9637822075746953,0.7789150589378551,0.7789150589378551,0.6501372456550598,0.6501372456550598,130.02744913101196,130.02744913101196,0.8081857631486596,0.8081857631486596,0.6745686323584394,0.6745686323584394,67.45686323584394,67.45686323584394,0.9550851845261319,0.9550851845261319,20.866756849636488,20.866756849636488,0.0,0.7172926760589083,0.0,0.6399459053451816,0.0,0.9401135793681759,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,78,0,0,0.8728253543376923,0.395645541138947,0.395645541138947,0.0654764398932457,0.0654764398932457,13.09528797864914,13.09528797864914,0.4532929058175291,0.4532929058175291,0.07501665661732503,0.07501665661732503,7.501665661732503,7.501665661732503,0.42122873777921527,0.42122873777921527,4.137316934291633,4.137316934291633,0.0,0.23658560340603194,0.0,0.03548807619760434,0.0,0.22830498370562033,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,79,0,0,0.8533968318952248,0.4769244105555117,0.4769244105555117,0.18106311559677124,0.18106311559677124,36.21262311935425,36.21262311935425,0.5588542079496093,0.5588542079496093,0.21216755069815063,0.21216755069815063,21.216755069815065,21.216755069815065,0.7870881983854232,0.7870881983854232,9.491185164220923,9.491185164220923,0.0,0.35143360344227403,0.0,0.1647369172424078,0.0,0.716117597847231,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,80,0,0,0.9140648398315534,0.5268316306173801,0.5268316306173801,0.14848242700099945,0.14848242700099945,29.69648540019989,29.69648540019989,0.5763613341855116,0.5763613341855116,0.16244189747891652,0.16244189747891652,16.244189747891653,16.244189747891653,0.7348966458514975,0.7348966458514975,7.046009501507949,7.046009501507949,0.0,0.3977538942126557,0.0,0.130628129777809,0.0,0.6465288611353299,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,81,0,0,0.8824579280335456,0.528171201236546,0.528171201236546,0.24402467906475067,0.24402467906475067,48.804935812950134,48.804935812950134,0.5985228127685519,0.5985228127685519,0.27652840017940705,0.27652840017940705,27.652840017940704,27.652840017940704,0.8529973761767968,0.8529973761767968,11.550453645212194,11.550453645212194,0.0,0.4100756256375462,0.0,0.23000655540575585,0.0,0.8039965015690624,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,82,0,0,0.8937799743143842,0.43325243331491947,0.43325243331491947,0.12057636678218842,0.12057636678218842,24.115273356437683,24.115273356437683,0.48474171022601625,0.48474171022601625,0.1349060957364615,0.1349060957364615,13.49060957364615,13.49060957364615,0.5885730142485455,0.5885730142485455,6.957627788702154,6.957627788702154,0.0,0.2797432529817646,0.0,0.09248108665148418,0.0,0.45143068566472727,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,83,0,0,0.9611105251242407,0.7952973931096494,0.7952973931096494,0.6619274616241455,0.6619274616241455,132.3854923248291,132.3854923248291,0.8274775609255169,0.8274775609255169,0.6887110736182809,0.6887110736182809,68.87110736182808,68.87110736182808,0.9712974226624149,0.9712974226624149,20.807545308176437,20.807545308176437,0.0,0.7400263491047857,0.0,0.6554073083680123,0.0,0.9617298968832199,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,84,0,0,0.8712593333330005,0.3890208313241601,0.3890208313241601,0.056944504380226135,0.056944504380226135,11.388900876045227,11.388900876045227,0.446504061926042,0.446504061926042,0.06535884575535629,0.06535884575535629,6.535884575535629,6.535884575535629,0.41393446940126,0.41393446940126,3.659476549520293,3.659476549520293,0.0,0.22827466398787996,0.0,0.030069710065921147,0.0,0.21857929253501332,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,85,0,0,0.8694714580196887,0.41068472852930427,0.41068472852930427,0.053124550729990005,0.053124550729990005,10.624910145998001,10.624910145998001,0.47233836687943875,0.47233836687943875,0.06109982132246948,0.06109982132246948,6.109982132246948,6.109982132246948,0.40019495331836624,0.40019495331836624,3.2339010340263554,3.2339010340263554,0.0,0.2577558186991761,0.0,0.026583841536194086,0.0,0.20025993775782164,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,86,0,0,0.8616493855370209,0.47889541555196047,0.47889541555196047,0.224688321352005,0.224688321352005,44.937664270401,44.937664270401,0.5557891917412441,0.5557891917412441,0.26076537060601346,0.26076537060601346,26.076537060601346,26.076537060601346,0.7864902808923759,0.7864902808923759,11.729508889380158,11.729508889380158,0.0,0.35131075889027363,0.0,0.2043561606357495,0.0,0.7153203745231679,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,87,0,0,0.87869721732568,0.501010799780488,0.501010799780488,0.23048794269561768,0.23048794269561768,46.097588539123535,46.097588539123535,0.5701745605901851,0.5701745605901851,0.2623064443029751,0.2623064443029751,26.230644430297513,26.230644430297513,0.8076363189968738,0.8076363189968738,11.501146422222996,11.501146422222996,0.0,0.37511532726542407,0.0,0.2121886545792222,0.0,0.7435150919958318,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,88,0,0,0.9216852223034948,0.4542289422824979,0.4542289422824979,0.1386965811252594,0.1386965811252594,27.73931622505188,27.73931622505188,0.4928243735396771,0.4928243735396771,0.15048150688434173,0.15048150688434173,15.048150688434173,15.048150688434173,0.7304140353882593,0.7304140353882593,7.633627462635354,7.633627462635354,0.0,0.29841018227549887,0.0,0.1216329022621115,0.0,0.6405520471843458,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,89,0,0,0.9371653238777071,0.5797719922848046,0.5797719922848046,0.25263771414756775,0.25263771414756775,50.52754282951355,50.52754282951355,0.6186443069467009,0.6186443069467009,0.2695764639500629,0.2695764639500629,26.95764639500629,26.95764639500629,0.8809589728487158,0.8809589728487158,10.893839194954728,10.893839194954728,0.0,0.46064088175383705,0.0,0.24125835221881667,0.0,0.8412786304649544,1,1
vda4_crossattn1_grid10x10_seed1,10x10,100,1,valid,frame5,memory,90,0,0,0.8665988562861457,0.4085918194614351,0.4085918194614351,0.05059080943465233,0.05059080943465233,10.118161886930466,10.118161886930466,0.47148898997221905,0.47148898997221905,0.058378578586477554,0.058378578586477554,5.837857858647755,5.837857858647755,0.4327689531785168,0.4327689531785168,3.0954370000197313,3.0954370000197313,0.0,0.2559228071865315,0.0,0.02848765440285206,0.0,0.24369193757135577,1,1
