trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_query_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,first_test_t3_query_same_minus_other_visual,first_test_t3_query_same_minus_other_memory,first_test_t3_query_same_minus_other_combined,first_test_t4_query_same_minus_other_visual,first_test_t4_query_same_minus_other_memory,first_test_t4_query_same_minus_other_combined,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_visual,second_test_query_same_minus_other_memory,second_test_query_same_minus_other_combined
42,1,3,-0.03481067441818908,-0.002919805236160755,-0.01064660852019017,-0.04849502146100804,0.04366302490234375,-0.04789276421070099,0.0002984926104545593,-0.04759427160024643,-0.04774013161659241,0.08702755719423294,0.03928742557764053,nan,nan,nan,nan,nan
43,1,3,-0.03137957844811723,0.010535902110859752,-0.011559089297534797,-0.0488587983326596,0.04242483898997307,-0.04795615375041962,-6.134063005447388e-05,-0.04801749438047409,-0.04775537550449371,0.08491101861000061,0.0371556431055069,nan,nan,nan,nan,nan
44,1,3,-0.03251359686051103,0.006727504078298807,0.009706995271500318,-0.042521017894912916,0.06805191561579704,-0.047994643449783325,1.8924474716186523e-06,-0.04799275100231171,-0.04786321520805359,0.13610193878412247,0.08823872357606888,nan,nan,nan,nan,nan
45,1,3,-0.028315412956253283,0.022191569907590747,-0.04131637378404207,-0.047875979674799396,0.046171076595783234,-0.04789815843105316,-7.305294275283813e-05,-0.047971211373806,-0.04775033891201019,0.0924152061343193,0.04466486722230911,nan,nan,nan,nan,nan
46,1,3,-0.0319566880396458,0.008291995385661721,-0.020680277086349008,-0.04860585398743922,0.0439068078994751,-0.047963276505470276,-0.0002601519227027893,-0.048223428428173065,-0.04773654043674469,0.08807376772165298,0.040337227284908295,nan,nan,nan,nan,nan
47,1,3,-0.0321989000630154,0.00719614396803081,-0.02094836507804132,-0.048302065073521305,0.04522770084440708,-0.04794494807720184,5.3122639656066895e-06,-0.04793963581323624,-0.04783843457698822,0.09045008942484856,0.042611654847860336,nan,nan,nan,nan,nan
48,1,3,-0.03292992277142659,0.004373930860310793,0.015057688379123135,-0.045646218332919375,0.05562347732484341,-0.048005610704422,0.0002949908375740051,-0.04771061986684799,-0.047718361020088196,0.11095196381211281,0.06323360279202461,nan,nan,nan,nan,nan
49,1,3,-0.03411745992230664,0.00028319377452135086,-0.009547737439518755,-0.04928503136939355,0.04109393619000912,-0.04797697067260742,-3.4518539905548096e-05,-0.04801148921251297,-0.04781898856163025,0.08222239091992378,0.03440340235829353,nan,nan,nan,nan,nan
50,1,3,-0.03172181450602096,0.009216683218255639,-0.004096006702596355,-0.04350247647779071,0.06424503773450851,-0.047906190156936646,3.775209188461304e-05,-0.04786843806505203,-0.047825977206230164,0.12845232337713242,0.08062634617090225,nan,nan,nan,nan,nan
51,1,3,-0.030732542747415437,0.01271163928322494,-0.023672542538619723,-0.04658162749967687,0.0520542711019516,-0.04800654947757721,-6.376951932907104e-05,-0.04807031899690628,-0.04786527156829834,0.10417231172323227,0.05630704015493393,nan,nan,nan,nan,nan
