model,role,dose,condition,response_rate,mean_rt,dprime,criterion,achieved_change_mass_t5,achieved_change_mass_t6
vda4_affine_ew_grid10x10_seed0,cued,1.0,valid,1.0,5.004,4.273324724705759,-0.7427584196742048,0.020250817760825157,0.08536335080862045
vda4_affine_ew_grid10x10_seed0,cued,1.0,invalid,0.228,5.859649122807017,0.6520359674506552,1.067885958953347,0.020250817760825157,0.08536335080862045
vda4_affine_ew_grid10x10_seed0,cued,1.0,nochange,0.08,5.6,,,0.020250817760825157,0.08536335080862045
vda4_affine_ew_grid10x10_seed0,control,0.0,valid,1.0,5.02,4.655637455228613,-0.5516020544127779,0.603969156742096,0.5721682906150818
vda4_affine_ew_grid10x10_seed0,control,0.0,invalid,0.992,5.125,4.104061991097672,-0.27581432234730785,0.603969156742096,0.5721682906150818
vda4_affine_ew_grid10x10_seed0,control,0.0,nochange,0.036,5.555555555555555,,,0.603969156742096,0.5721682906150818
vda4_affine_ew_grid10x10_seed0,control,0.25,valid,1.0,5.024,4.655637455228613,-0.5516020544127779,0.5999415516853333,0.5701066851615906
vda4_affine_ew_grid10x10_seed0,control,0.25,invalid,0.992,5.125,4.104061991097672,-0.27581432234730785,0.5999415516853333,0.5701066851615906
vda4_affine_ew_grid10x10_seed0,control,0.25,nochange,0.036,5.555555555555555,,,0.5999415516853333,0.5701066851615906
vda4_affine_ew_grid10x10_seed0,control,0.5,valid,1.0,5.044,4.8951843850913805,-0.4318285894813938,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,control,0.5,invalid,0.992,5.17741935483871,4.34360892096044,-0.15604085741592377,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,control,0.5,nochange,0.02,5.4,,,0.5312022566795349,0.5405747294425964
vda4_affine_ew_grid10x10_seed0,control,0.75,valid,0.984,5.2317073170731705,4.612102880647479,0.20750127939241403,0.19054335355758667,0.38530784845352173
vda4_affine_ew_grid10x10_seed0,control,0.75,invalid,0.852,5.605633802816901,3.552552623796859,0.7372764078177241,0.19054335355758667,0.38530784845352173
vda4_affine_ew_grid10x10_seed0,control,0.75,nochange,0.004,6.0,,,0.19054335355758667,0.38530784845352173
vda4_affine_ew_grid10x10_seed0,control,1.0,valid,0.352,5.965909090909091,2.1352144008115053,1.445945519310401,0.020970260724425316,0.07301802188158035
vda4_affine_ew_grid10x10_seed0,control,1.0,invalid,0.068,6.0,1.0356814255529625,1.9957120069396723,0.020970260724425316,0.07301802188158035
vda4_affine_ew_grid10x10_seed0,control,1.0,nochange,0.004,6.0,,,0.020970260724425316,0.07301802188158035
