model,memory_decay,displayed_validity,orientation_change_degrees,condition,response_count,trials,response_rate,wilson_ci_low,wilson_ci_high
high_decay,0.8,0.25,22.0,forced_invalid,255,300,0.85,0.8051814866,0.8859681124
high_decay,0.8,0.25,26.0,valid,293,300,0.9766666667,0.9526274457,0.9886524844
high_decay,0.8,0.25,26.0,forced_invalid,279,300,0.93,0.8953632442,0.953763406
high_decay,0.8,0.25,30.0,valid,300,300,1,0.98735657,1
high_decay,0.8,0.25,30.0,forced_invalid,300,300,1,0.98735657,1
high_decay,0.8,0.5,0.0,valid,33,300,0.11,0.07940480727,0.1504570681
high_decay,0.8,0.5,0.0,forced_invalid,33,300,0.11,0.07940480727,0.1504570681
high_decay,0.8,0.5,3.0,valid,28,300,0.09333333333,0.06536379093,0.1315861988
high_decay,0.8,0.5,3.0,forced_invalid,26,300,0.08666666667,0.05982848995,0.1239567455
high_decay,0.8,0.5,6.0,valid,64,300,0.2133333333,0.1707518837,0.2631636828
high_decay,0.8,0.5,6.0,forced_invalid,46,300,0.1533333333,0.1169658141,0.198466964
high_decay,0.8,0.5,9.0,valid,84,300,0.28,0.2322182029,0.3333449063
high_decay,0.8,0.5,9.0,forced_invalid,59,300,0.1966666667,0.1556439536,0.2453597273
high_decay,0.8,0.5,12.0,valid,137,300,0.4566666667,0.4012019061,0.5132271912
high_decay,0.8,0.5,12.0,forced_invalid,107,300,0.3566666667,0.3045865043,0.412371279
high_decay,0.8,0.5,15.0,valid,175,300,0.5833333333,0.5268345519,0.6377248764
high_decay,0.8,0.5,15.0,forced_invalid,145,300,0.4833333333,0.427353401,0.5397347133
high_decay,0.8,0.5,18.0,valid,252,300,0.84,0.7942554091,0.8771470585
high_decay,0.8,0.5,18.0,forced_invalid,206,300,0.6866666667,0.6320966535,0.736516466
high_decay,0.8,0.5,22.0,valid,271,300,0.9033333333,0.8646174891,0.9318501441
high_decay,0.8,0.5,22.0,forced_invalid,254,300,0.8466666667,0.801533036,0.8830341859
high_decay,0.8,0.5,26.0,valid,293,300,0.9766666667,0.9526274457,0.9886524844
high_decay,0.8,0.5,26.0,forced_invalid,279,300,0.93,0.8953632442,0.953763406
high_decay,0.8,0.5,30.0,valid,300,300,1,0.98735657,1
high_decay,0.8,0.5,30.0,forced_invalid,298,300,0.9933333333,0.9760219258,0.99816989
high_decay,0.8,0.75,0.0,valid,33,300,0.11,0.07940480727,0.1504570681
high_decay,0.8,0.75,0.0,forced_invalid,33,300,0.11,0.07940480727,0.1504570681
high_decay,0.8,0.75,3.0,valid,35,300,0.1166666667,0.085092638,0.1579339917
high_decay,0.8,0.75,3.0,forced_invalid,34,300,0.1133333333,0.08224401447,0.1542002381
high_decay,0.8,0.75,6.0,valid,79,300,0.2633333333,0.2167107081,0.3159405154
high_decay,0.8,0.75,6.0,forced_invalid,48,300,0.16,0.1228529415,0.2057445909
high_decay,0.8,0.75,9.0,valid,105,300,0.35,0.2982310965,0.4055619325
high_decay,0.8,0.75,9.0,forced_invalid,54,300,0.18,0.1406576555,0.2274341397
high_decay,0.8,0.75,12.0,valid,154,300,0.5133333333,0.456962991,0.5693665176
high_decay,0.8,0.75,12.0,forced_invalid,95,300,0.3166666667,0.266627483,0.3713417746
high_decay,0.8,0.75,15.0,valid,199,300,0.6633333333,0.6080909561,0.7144455234
high_decay,0.8,0.75,15.0,forced_invalid,135,300,0.45,0.3946889095,0.5065754335
high_decay,0.8,0.75,18.0,valid,264,300,0.88,0.8383413318,0.9120496614
high_decay,0.8,0.75,18.0,forced_invalid,185,300,0.6166666667,0.5605020927,0.669881107
high_decay,0.8,0.75,22.0,valid,281,300,0.9366666667,0.9032079605,0.959083444
high_decay,0.8,0.75,22.0,forced_invalid,247,300,0.8233333333,0.776166651,0.862323931
high_decay,0.8,0.75,26.0,valid,294,300,0.98,0.9570598133,0.9908024939
high_decay,0.8,0.75,26.0,forced_invalid,270,300,0.9,0.8608327216,0.9290525344
high_decay,0.8,0.75,30.0,valid,300,300,1,0.98735657,1
high_decay,0.8,0.75,30.0,forced_invalid,295,300,0.9833333333,0.9615840564,0.992860628
high_decay,0.8,1.0,0.0,valid,32,300,0.1066666667,0.07657538053,0.1467041177
high_decay,0.8,1.0,0.0,forced_invalid,32,300,0.1066666667,0.07657538053,0.1467041177
high_decay,0.8,1.0,3.0,valid,36,300,0.12,0.08795033863,0.1616586682
high_decay,0.8,1.0,3.0,forced_invalid,34,300,0.1133333333,0.08224401447,0.1542002381
high_decay,0.8,1.0,6.0,valid,79,300,0.2633333333,0.2167107081,0.3159405154
high_decay,0.8,1.0,6.0,forced_invalid,47,300,0.1566666667,0.1199062203,0.202108935
high_decay,0.8,1.0,9.0,valid,104,300,0.3466666667,0.2950576387,0.4021530132
high_decay,0.8,1.0,9.0,forced_invalid,54,300,0.18,0.1406576555,0.2274341397
high_decay,0.8,1.0,12.0,valid,154,300,0.5133333333,0.456962991,0.5693665176
high_decay,0.8,1.0,12.0,forced_invalid,92,300,0.3066666667,0.257204905,0.3610172213
high_decay,0.8,1.0,15.0,valid,198,300,0.66,0.6046734114,0.711280691
high_decay,0.8,1.0,15.0,forced_invalid,133,300,0.4433333333,0.3881859299,0.4999136589
high_decay,0.8,1.0,18.0,valid,263,300,0.8766666667,0.8346254158,0.9091832003
high_decay,0.8,1.0,18.0,forced_invalid,182,300,0.6066666667,0.5503742249,0.6602618434
high_decay,0.8,1.0,22.0,valid,281,300,0.9366666667,0.9032079605,0.959083444
high_decay,0.8,1.0,22.0,forced_invalid,247,300,0.8233333333,0.776166651,0.862323931
high_decay,0.8,1.0,26.0,valid,294,300,0.98,0.9570598133,0.9908024939
high_decay,0.8,1.0,26.0,forced_invalid,270,300,0.9,0.8608327216,0.9290525344
high_decay,0.8,1.0,30.0,valid,300,300,1,0.98735657,1
high_decay,0.8,1.0,30.0,forced_invalid,296,300,0.9866666667,0.9662239392,0.9948031223
