env,routing,condition,displayed_validity,alpha,beta,gamma,lam,converged,n_trials_per_point,active_items,source_path,source_sha256,checkpoint_sha256
vda9,affine_ew,invalid,0.25,16.237387128349738,3.1674824931794254,0.04552791474876406,1.176200075765007e-18,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,affine_ew,valid,0.5,12.026255689276256,2.9573903517191247,0.033291971940789006,1.1418573936200516e-19,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,affine_ew,invalid,0.5,17.185775403513254,3.146016625501914,0.04411650763112716,4.439600894904915e-18,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,affine_ew,valid,0.75,11.482807572119171,2.9761200337961884,0.029528351875923033,1.0738825111105883e-23,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,affine_ew,invalid,0.75,18.00593877818594,3.267610640220411,0.0464584478995828,1.1947238197298442e-23,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,affine_ew,valid,1.0,11.355560502873102,2.9708934205498156,0.03552052811454825,6.034164748947172e-22,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,affine_ew,invalid,1.0,18.40747325501472,3.215057200221118,0.051903742591293295,6.060295038015099e-22,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_affine_ew.npz,39ecd75e7ac25a54305b798aac9519d6eb46161bc323bf3855a4d7a0e1ccfb9b,22f028f6232d9c3ea040019aff357645ddcaa69e4a09c2f8ceff224ea568d8d7
vda9,crossattn1,valid,0.25,14.859384786388851,4.127283386914787,0.04880177607531139,6.158066356549311e-22,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda9,crossattn1,invalid,0.25,17.52089823670703,4.4540307574352855,0.051915940791003194,5.462166501363525e-21,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda9,crossattn1,valid,0.5,13.148423175706512,3.9241352732309207,0.03375281960790408,3.5273188191446587e-15,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
