proportion,cond,mag,n,hit_rate,hit_sem,median_rt,rt_sem,premature_rate
0.5,invalid,5.0,250,0.072,0.016348210911289345,6.0,1.3465370752157984,0.0
0.5,invalid,9.0,250,0.224,0.02636846601529941,7.0,0.6090391901677423,0.0
0.5,invalid,14.0,250,0.564,0.03136265294900927,5.0,0.35842014223825075,0.0
0.5,invalid,20.0,250,0.708,0.028756634017214185,3.0,0.28069195339169206,0.0
0.5,invalid,30.0,250,0.808,0.02491072058371656,2.0,0.25403294418995837,0.0
0.5,invalid,44.0,250,0.88,0.020552372125864207,2.0,0.19377557394463282,0.0
0.5,invalid,64.0,250,0.848,0.022706474847496695,2.0,0.16483707169589343,0.0
0.75,valid,2.0,250,0.012,0.00688650854933035,12.0,1.2298716286612592,0.0
0.75,valid,5.0,250,0.052,0.014042222046385677,11.0,0.49448493737811045,0.0
0.75,valid,9.0,250,0.232,0.02669651662670619,5.0,0.6717813900752141,0.0
0.75,valid,14.0,250,0.508,0.031618728627191825,5.0,0.3981637193773228,0.0
0.75,valid,20.0,250,0.76,0.027011108825814614,3.0,0.26331222129350274,0.0
0.75,valid,30.0,250,0.836,0.023418283455454204,2.0,0.25113891453215537,0.0
0.75,valid,44.0,250,0.836,0.023418283455454204,2.0,0.22641305270449785,0.0
0.75,valid,64.0,250,0.8,0.025298221281347035,1.0,0.20294899470871364,0.0
0.75,invalid,2.0,250,0.016,0.007935741931287836,7.5,2.545464277267456,0.0
0.75,invalid,5.0,250,0.044,0.012971353052014273,7.0,1.581735645887033,0.0
0.75,invalid,9.0,250,0.172,0.023867634989667492,7.0,0.7456410539956491,0.0
0.75,invalid,14.0,250,0.54,0.03152142128775287,5.0,0.3516351612635817,0.0
0.75,invalid,20.0,250,0.688,0.029302286600195557,3.0,0.28561684617787975,0.0
0.75,invalid,30.0,250,0.828,0.023867634989667496,2.0,0.24792514019819317,0.0
0.75,invalid,44.0,250,0.88,0.020552372125864207,2.0,0.23436364324798054,0.0
0.75,invalid,64.0,250,0.816,0.024506652158138617,2.0,0.20245065090684153,0.0
1.0,valid,2.0,250,0.056,0.014541526742402257,10.0,1.3063029889164834,0.0
1.0,valid,5.0,250,0.032,0.011131217363792696,9.5,1.8269829379493867,0.0
1.0,valid,9.0,250,0.22,0.026199236630100504,9.0,0.6171026485976143,0.004
1.0,valid,14.0,250,0.564,0.03136265294900927,5.0,0.31874928895065074,0.0
1.0,valid,20.0,250,0.756,0.02716350492848815,3.0,0.2866969571070276,0.0
1.0,valid,30.0,250,0.828,0.023867634989667496,2.0,0.2298525825150577,0.0
1.0,valid,44.0,250,0.864,0.021679852398021532,2.0,0.26110147643848514,0.0
1.0,valid,64.0,250,0.856,0.022204864331943127,1.5,0.20866846749237114,0.0
1.0,invalid,2.0,250,0.032,0.011131217363792696,9.0,1.7646275185144893,0.0
1.0,invalid,5.0,250,0.032,0.011131217363792696,12.0,0.9383416723252016,0.0
1.0,invalid,9.0,250,0.232,0.02669651662670619,8.0,0.5697142857462291,0.0
1.0,invalid,14.0,250,0.536,0.031540703860250166,5.0,0.35017019366455415,0.0
1.0,invalid,20.0,250,0.768,0.02669651662670619,3.0,0.27585720825550397,0.0
1.0,invalid,30.0,250,0.824,0.024085182166635157,2.0,0.1935302798562688,0.0
1.0,invalid,44.0,250,0.836,0.023418283455454204,2.0,0.21243356669172825,0.0
1.0,invalid,64.0,250,0.852,0.022458495051984228,1.0,0.16404809921043945,0.004
