feedback,seed,condition,window,from_n_tokens,to_n_tokens,contrast,metric,n_paired_trials,mean_difference,ci95_low,ci95_high,interval_unit,interval_method
affine_ew,0,invalid,frame5,4,100,100-4,target_within_quadrant_peak_ratio,128,10.10718119428914,9.259067831090608,10.913200852476661,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,cue_within_quadrant_peak_ratio,128,2.4328799183302277,2.033174938250449,2.8507919710989627,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_minus_cue_total_mass,128,-0.3730912809928668,-0.4094198460477969,-0.33693240961152926,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_minus_other_total_mass,128,-0.332156626620114,-0.3661260744924183,-0.2980983791963809,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_minus_cue_peak_share,128,-0.04535175243519822,-0.09970530652140884,0.005241459926860163,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_minus_other_peak_share,128,0.014093685911280832,-0.02989170679676912,0.056977736155628275,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_argmax_total,128,-0.0390625,-0.0859375,0.0078125,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame5,4,100,100-4,target_argmax_peak,128,-0.03125,-0.078125,0.0078125,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_total_quadrant_mass,128,0.006046729844456422,-0.026889698237346236,0.038725764861101186,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,cue_total_quadrant_mass,128,0.11383918135561544,0.09156083516138551,0.13657360332317692,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_mean_patch_mass,128,-0.514615212629451,-0.5341980835533434,-0.49363936285403726,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,cue_mean_patch_mass,128,-0.02755926257873398,-0.04099870007474919,-0.014691847798280833,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_peak_patch_raw,128,-0.22069145180284977,-0.2618373489502119,-0.18034732726810035,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,cue_peak_patch_raw,128,0.03545035723982437,0.017868227692679282,0.052931248267350385,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_peak_patch_uniform_ratio,128,4.726967092603445,4.1691314847907055,5.2988209673436355,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,cue_peak_patch_uniform_ratio,128,1.4635106425193953,1.253598828424947,1.6897453558613051,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_peak_patch_quadrant_share,128,0.02708066214027383,-0.010180042149572343,0.06397698788895839,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,cue_peak_patch_quadrant_share,128,0.11146273354061312,0.08518643357181371,0.13784778342863832,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_within_quadrant_peak_ratio,128,1.6247528127252,1.4899219032774909,1.761402646395905,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,cue_within_quadrant_peak_ratio,128,1.2349500519764558,1.1386941764175968,1.335567754081743,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_minus_cue_total_mass,128,-0.10779245151115902,-0.16060828797187696,-0.0565179893862478,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_minus_other_total_mass,128,0.00806230720293873,-0.0342404554764471,0.052064223300260414,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_minus_cue_peak_share,128,-0.0843820714003393,-0.14530626885990228,-0.02495765626025373,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_minus_other_peak_share,128,0.036107549520365094,-0.013977693228406708,0.0853056110528668,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_argmax_total,128,-0.0234375,-0.078125,0.0234375,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,16,16-4,target_argmax_peak,128,-0.0703125,-0.1328125,-0.015625,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_total_quadrant_mass,128,-0.11584178826706193,-0.15529520186279058,-0.0767904775850127,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,cue_total_quadrant_mass,128,0.007922171398377031,-0.01508958884688809,0.03149768071259586,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_mean_patch_mass,128,-0.15041901542337655,-0.15740571514169857,-0.1431966433269757,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,cue_mean_patch_mass,128,-0.039274677445682755,-0.04405837946014094,-0.034616871193951744,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_peak_patch_raw,128,-0.11504597052407917,-0.16607822048026719,-0.06434327958049837,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,cue_peak_patch_raw,128,-0.06838300431081734,-0.08436025520527438,-0.05305669100612251,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_peak_patch_uniform_ratio,128,27.763533246295992,24.11619386100647,31.28589254812832,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,cue_peak_patch_uniform_ratio,128,2.413664063838951,1.747794195953611,3.121290925477478,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_peak_patch_quadrant_share,128,0.04358573659141689,-0.0035405216684147563,0.08996032168005506,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,cue_peak_patch_quadrant_share,128,-0.06751034592372392,-0.09858451847091813,-0.037024989624214355,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_within_quadrant_peak_ratio,128,11.254850707262541,10.263312580692364,12.248626705358836,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,cue_within_quadrant_peak_ratio,128,3.1381540671218002,2.411898813119788,3.9123294403192532,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_minus_cue_total_mass,128,-0.12376395966543896,-0.1842247222875443,-0.06355881136854295,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_minus_other_total_mass,128,-0.15445571887221377,-0.2074050339535584,-0.1015914145162848,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_minus_cue_peak_share,128,0.11109608251514082,0.038299607790007066,0.18235238413055216,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_minus_other_peak_share,128,0.05811431545522251,-0.0035907306315366475,0.11882814220332268,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_argmax_total,128,-0.0625,-0.125,0.0,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,16,100,100-16,target_argmax_peak,128,0.0234375,-0.0390625,0.0859375,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,target_total_quadrant_mass,128,-0.10979505842260551,-0.14791391458376496,-0.07189946307815945,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,cue_total_quadrant_mass,128,0.12176135275399247,0.10272933433217304,0.1406590002616724,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,target_mean_patch_mass,128,-0.6650342280528276,-0.6842664676470653,-0.6444311933738179,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,cue_mean_patch_mass,128,-0.06683394002441673,-0.07956369562977375,-0.05508073983740883,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,target_peak_patch_raw,128,-0.33573742232692894,-0.3765398963860207,-0.29518217079021275,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,cue_peak_patch_raw,128,-0.03293264707099297,-0.04772809640026025,-0.019025297644839158,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,target_peak_patch_uniform_ratio,128,32.49050033889944,29.070677166183305,36.06096581043821,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,cue_peak_patch_uniform_ratio,128,3.877174706358346,3.2364280013705864,4.56536046490819,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,target_peak_patch_quadrant_share,128,0.07066639873169071,0.027568678564669075,0.11407411598909448,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,cue_peak_patch_quadrant_share,128,0.043952387616889216,0.021506763963704496,0.06757438136838399,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
affine_ew,0,invalid,frame6,4,100,100-4,target_within_quadrant_peak_ratio,128,12.879603519987741,11.954849903253374,13.827203332694378,paired held-out trial IDs,paired percentile bootstrap (10000 draws)
