label,feedback,grid,n_tokens,seed,condition,window,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,cue_peak_patch_uniform_ratio,128,3.6725744162140472,3.147457805871454,4.216547817079572,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_peak_patch_quadrant_share,128,0.7632461654022209,0.7411390676274279,0.784573787088764,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,cue_peak_patch_quadrant_share,128,0.12963816499806852,0.11435552471834032,0.14575310891617385,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_within_quadrant_peak_ratio,128,12.493392357138442,11.94222529897067,13.043269702045748,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,cue_within_quadrant_peak_ratio,128,4.402992018714242,3.872125102793735,4.943386059836497,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_minus_cue_total_mass,128,0.34060302625118766,0.3182184494597678,0.36352885674572805,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_minus_other_total_mass,128,0.3908954271647265,0.3699324577327421,0.41106465909584866,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_minus_cue_peak_share,128,0.6336080004041524,0.5967305339064065,0.6689497201927735,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_minus_other_peak_share,128,0.6843282205362946,0.6550074896868878,0.7135425558791315,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_argmax_total,128,1.0,1.0,1.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,invalid,frames5_6_mean,target_argmax_peak,128,1.0,1.0,1.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_total_quadrant_mass,128,0.7241093680577251,0.7060948069561505,0.7414402705926136,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,cue_total_quadrant_mass,128,0.7241093680577251,0.705915057069285,0.7412405714069223,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_mean_patch_mass,128,0.028964374722309002,0.02820127798205885,0.029644849940833863,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,cue_mean_patch_mass,128,0.028964374722309002,0.028245577126102032,0.029650075667701004,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_peak_patch_raw,128,0.3739525408600457,0.3480383982299827,0.40002585083129816,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,cue_peak_patch_raw,128,0.3739525408600457,0.34804536205047043,0.4004860323417233,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_peak_patch_uniform_ratio,128,37.39525408600457,34.65065425625653,40.11951027001487,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,cue_peak_patch_uniform_ratio,128,37.39525408600457,34.72321129345801,40.02548898439272,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_peak_patch_quadrant_share,128,0.934613709038553,0.9212525677984601,0.9467631723786841,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,cue_peak_patch_quadrant_share,128,0.934613709038553,0.9206069251113758,0.9467117956624005,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_within_quadrant_peak_ratio,128,12.511326516431538,11.793441709983824,13.248159229928829,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,cue_within_quadrant_peak_ratio,128,12.511326516431538,11.795242881290465,13.237816298932772,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_minus_cue_total_mass,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_minus_other_total_mass,128,0.6321458250838532,0.6079849062102066,0.6551293123135451,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_minus_cue_peak_share,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_minus_other_peak_share,128,0.9128182787180708,0.8942159188231973,0.9291601941939446,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_argmax_total,128,1.0,1.0,1.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame5,target_argmax_peak,128,1.0,1.0,1.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_total_quadrant_mass,128,0.581711195773778,0.5567649253526042,0.6076222673006952,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,cue_total_quadrant_mass,128,0.581711195773778,0.5559286859613337,0.6071560334267303,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_mean_patch_mass,128,0.023268447830951118,0.022249100005618173,0.024308964044994583,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,cue_mean_patch_mass,128,0.023268447830951118,0.022231585843221182,0.024300433537077195,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_peak_patch_raw,128,0.26078846800373867,0.2366258223672048,0.2863133468476008,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,cue_peak_patch_raw,128,0.26078846800373867,0.2366032795915089,0.2863211943593342,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_peak_patch_uniform_ratio,128,26.078846800373867,23.63995194711606,28.568638397700852,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,cue_peak_patch_uniform_ratio,128,26.078846800373867,23.60503685340518,28.582921654960955,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_peak_patch_quadrant_share,128,0.7835110165869943,0.7566761319875205,0.8094514013232694,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,cue_peak_patch_quadrant_share,128,0.7835110165869943,0.7575061112082523,0.809448799846749,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_within_quadrant_peak_ratio,128,10.551974911328667,9.893226235201393,11.226018619213978,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,cue_within_quadrant_peak_ratio,128,10.551974911328667,9.899314512662839,11.22223190770438,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_minus_cue_total_mass,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_minus_other_total_mass,128,0.4422815942024746,0.4081223089272098,0.47634173022861237,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_minus_cue_peak_share,128,0.0,0.0,0.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_minus_other_peak_share,128,0.7113480221159925,0.6757243109139447,0.74618180327009,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_argmax_total,128,1.0,1.0,1.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frame6,target_argmax_peak,128,1.0,1.0,1.0,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frames5_6_mean,target_total_quadrant_mass,128,0.6529102819157515,0.6427621238923052,0.6629510799858224,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frames5_6_mean,cue_total_quadrant_mass,128,0.6529102819157515,0.6429058640569622,0.6631367354467471,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frames5_6_mean,target_mean_patch_mass,128,0.026116411276630058,0.025722286979861224,0.02652518771408745,held-out trials,percentile bootstrap (10000 draws)
vda4_affine_ew_grid10x10_seed0,affine_ew,10x10,100,0,valid,frames5_6_mean,cue_mean_patch_mass,128,0.026116411276630058,0.025720145943603258,0.026518709892097262,held-out trials,percentile bootstrap (10000 draws)
