trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_memory
89,0,0,-0.032813727196874254,-0.024826914764901176,-0.05033898235545564,0.04396432638168335,-0.018586055295202186,-0.02108425505264222,0.16105864942073822
90,0,0,-0.03082004811001937,-0.02438226102142238,-0.050031954072750295,0.04528901167213917,0.0005771596584338567,-0.009147352045675738,0.22870632633566856
91,0,0,-0.031797148872477976,-0.02143462401654972,-0.0491766182483957,0.048942334949970245,-0.0053175665911098235,-0.015043968065860724,0.199965563006117
92,0,0,-0.029562725535953405,-0.036457718042981924,-0.05015415164110948,0.045176057144999504,0.01166048828890709,0.0023639699338779963,0.26581016840646043
93,0,0,-0.034621622590947254,-0.024528093518426886,-0.05040526544405566,0.04431985877454281,-0.01144370275258666,-0.020715017092570953,0.1887165114749223
94,0,0,-0.03067125270783322,0.02343138412021517,-0.04898505312371526,0.04944743029773235,-0.010431205418989009,-0.01999332979386992,0.19137508451240137
95,0,0,-0.028442335046051426,0.02576538254498928,-0.05079832680389984,0.042121391743421555,-0.03715254590407824,-0.04606070300462761,0.09386425348930061
96,0,3,-0.035695255223267,0.006386158692308186,-0.0466590680441854,0.05087016150355339,-0.12625041363587286,-0.06916501305170186,-0.2393605433171615
97,0,3,-0.027322537524664625,-0.04571483734687121,-0.047734973540642045,0.04698343947529793,-0.12715129976201212,-0.07057218981702107,-0.23612433750531636
98,0,3,-0.03795591283918043,-0.004617039766060316,-0.04425510916829012,0.06080801039934158,-0.12944212893619067,-0.07094939529299182,-0.2468324829096673
99,0,3,-0.03132799940201991,0.027691630542669543,-0.04643575588104909,0.05205315537750721,-0.11126326115461183,-0.07121009554931845,-0.18401794432429597
100,0,3,-0.03363024180739416,0.0090389839794085,-0.04589909172635487,0.05437748692929745,-0.10865989013859689,-0.06720689068055208,-0.18589681386947632
101,0,3,-0.029807940016148393,-0.017771973791326445,-0.05021355551841111,0.03650890477001667,-0.10946043416802809,-0.06991346322178771,-0.17823200684506446
102,0,3,-0.03031675280364965,0.009187713300747191,-0.04614659491431894,0.05330021493136883,-0.13172866780443826,-0.06851960505007071,-0.26340739330044016
103,0,3,-0.03346821593872207,-0.020204084834837488,-0.04654404898489872,0.05185258574783802,-0.09985908666898347,-0.07158823726472896,-0.1371457665518392
104,0,3,-0.030540982941552386,-0.010398195849333547,-0.04695125069339667,0.0502425841987133,-0.11940895252178763,-0.07045057585177972,-0.20956182177178562
105,0,3,-0.03303764058467351,0.021113225377277445,-0.04674238832053845,0.05090651847422123,-0.10697568541668545,-0.07163327603525715,-0.17435583207407035
106,0,3,-0.030090395238044465,-0.01403671640664328,-0.04997064979265531,0.03802690654993057,-0.13411889634336838,-0.07099095304178427,-0.26249940227353363
107,0,3,-0.029815280434764446,-0.04204160844270888,-0.048174284884055396,0.045241206884384155,-0.09508496283977763,-0.07093123923265576,-0.11997177920420654
108,0,3,-0.03374965159346033,-0.028147548266318267,-0.04561632349779643,0.05578416399657726,-0.1236266087412865,-0.06767757625350868,-0.22574521609931253
109,0,3,-0.031207114260684676,0.004744319252431239,-0.04649916491456452,0.051463594660162926,-0.1332086701938593,-0.06804490538707242,-0.26140202063834295
110,0,3,-0.030851678850591924,0.006937338674184446,-0.04461004638521615,0.059996310621500015,-0.09231010856026955,-0.06898622165099155,-0.12100584563449956
111,0,3,-0.03081062773016896,0.03703268809543658,-0.04542610265158942,0.05632132478058338,-0.13395728375129323,-0.07100970113378757,-0.2618001448499854
112,0,3,-0.03231651764728127,-0.017845985603727854,-0.04437801124825924,0.06024336256086826,-0.11168817402837661,-0.07070047927326106,-0.17671965714544058
113,0,3,-0.03046111602220236,-0.0289396757269742,-0.045499543348647364,0.05603557266294956,-0.13164855765711536,-0.07138401938536809,-0.2641405507456511
114,0,3,-0.029451933274543762,-0.017497499804989047,-0.048471684611243404,0.04414031282067299,-0.13502466799113932,-0.07077812712683418,-0.26761722257651854
115,0,3,-0.030567085356207002,-0.004249784279416247,-0.04887730025916426,0.042365243658423424,-0.08231275822554096,-0.06903181279920823,-0.08420419180765748
116,0,3,-0.028184102992991455,-0.01972484245032291,-0.05031925525700842,0.0367586687207222,-0.09038303758854482,-0.0700165815086713,-0.10596285993233323
