label,grid,n_tokens,seed,condition,window,source,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_conditional_total_quadrant_mass,128,0.3286866602709039,0.3220433974618848,0.335383083275111,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_conditional_total_quadrant_mass,128,0.27056952658998573,0.2663521086590355,0.2751056500333842,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_conditional_peak_patch,128,0.06658974123757685,0.06190976644712225,0.07121557586149962,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_conditional_peak_patch,128,0.026603112492418875,0.024025068725619693,0.029546565257378476,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_conditional_peak_patch_uniform_ratio,128,6.6589741237576865,6.199659036293464,7.122092690469302,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_conditional_peak_patch_uniform_ratio,128,2.6603112492418877,2.4066497053590417,2.9661009990463216,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_peak_patch_quadrant_share,128,0.5591416402387628,0.5355896894789132,0.5818876127111953,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_peak_patch_quadrant_share,128,0.23166772594342283,0.21480697314127853,0.24947679220594385,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_within_quadrant_peak_ratio,128,4.926074349159595,4.65015922365733,5.200664033193045,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,cue_within_quadrant_peak_ratio,128,2.387366951119511,2.205927007544653,2.5831200617153374,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_minus_cue_raw_total_mass,128,0.03874905121301708,0.03179033407291172,0.04575544204203652,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_minus_other_raw_total_mass,128,0.06995051708084551,0.06407042205253978,0.07603943103419322,held-out trials,percentile bootstrap (10000 draws)
